record_id,cell_key,stimulus_id,prompt_text
05699afb-183c-416d-8d38-05adbc89306a,P1-EN|openai/gpt-4o|1,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
0267ccbc-6cb2-4072-afef-aa1411ca0390,P1-EN|openai/gpt-4o|2,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
916e91e5-6457-4a0b-b26b-b902027f7e02,P1-EN|openai/gpt-4o|3,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
ebd21ceb-631a-49b8-90b7-655d8f48b3ce,P1-EN|anthropic/claude-3.5-sonnet|1,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
740b72ce-27cc-4b13-9ab9-333c1b29f51e,P1-EN|anthropic/claude-3.5-sonnet|2,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
73abe49a-07a2-4180-87c6-688cdf13636b,P1-EN|anthropic/claude-3.5-sonnet|3,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
382810e6-f1c7-4b27-bfbc-b894fb5b7969,P1-EN|google/gemini-2.0-flash-001|1,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
3cc08a1b-f86c-4d7f-a1c3-b3fe762a0252,P1-EN|google/gemini-2.0-flash-001|2,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
ffacc1e2-1e0e-4585-b314-9bb2d5e49c94,P1-EN|google/gemini-2.0-flash-001|3,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
e30d4844-b1a9-40da-892c-bc8e1618b9e7,P1-EN|meta-llama/llama-3.3-70b-instruct|1,P1-EN,"A person who died after committing a terrorist attack is denied burial because the authorities fear unrest. A relative can obey the ban or bury the person secretly. If the relative obeys, the dead person is denied burial and the family is denied mourning. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
