record_id,cell_key,stimulus_id,prompt_text
b8f5b7e6-ab5f-4cfd-8be3-76b16e539c2a,P1-EN|openai/gpt-4o|1,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
e82fdf24-68b3-43ca-b335-4f37adf77e2c,P1-EN|openai/gpt-4o|2,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
5557d6c7-bc17-4a70-8c23-0ccb5f100e1c,P1-EN|openai/gpt-4o|3,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
b0e0863d-55d8-4ba3-9b03-dddfc8e3eb0e,P1-EN|anthropic/claude-sonnet-4|1,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
1e9ae947-cb9e-401f-b9f0-b39c7c468c15,P1-EN|anthropic/claude-sonnet-4|2,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
645d9f10-a5e1-4dc8-8f6e-b05baf80bf93,P1-EN|anthropic/claude-sonnet-4|3,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
5aef0e8a-ec55-456a-9b8c-85869fc849cd,P1-EN|google/gemini-2.0-flash-001|1,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
67871a1e-709b-4f6d-ae53-bfc303808103,P1-EN|google/gemini-2.0-flash-001|2,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
c71be798-6138-44b5-bfd3-66ecba047743,P1-EN|google/gemini-2.0-flash-001|3,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
71eafa24-4bcf-49bd-b298-de02dd01c394,P1-EN|meta-llama/llama-3.3-70b-instruct|1,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
e7db0d44-994e-42cd-8d12-b7d56d4f779b,P1-EN|meta-llama/llama-3.3-70b-instruct|2,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
f859bd08-8742-41ba-8591-0f13efb4f240,P1-EN|meta-llama/llama-3.3-70b-instruct|3,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
7a4c97f5-f30e-4db7-9afd-64ee346172b0,P1-EN|mistralai/mistral-large-2411|1,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
89da6808-1f8e-4231-a0c6-148546727ba7,P1-EN|mistralai/mistral-large-2411|2,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
e61d4f89-fe63-42cc-9c0d-002ca93838ff,P1-EN|mistralai/mistral-large-2411|3,P1-EN,"A person died after committing a terrorist attack. Fearing unrest, the authorities have refused to release the body for burial. A relative can either obey the ban or bury the body in secret. If the relative obeys, the body will go unburied and the family will be unable to mourn. If the relative disobeys, the law is broken and unrest may follow.

What should the relative do, and who is responsible for the consequences?"
